brain_region_id,brain_region_name,cellinstance_cell_id,celltype_cell_name 
102,Striatum,302,BNSTALG Type I neuron
104,Bed nuclei of the stria terminalis,206,360 nm-cone
104,Bed nuclei of the stria terminalis,207,glutamate expressing retinal ganglion cell
104,Bed nuclei of the stria terminalis,208,glutamate/PACAP expressing retinal ganglion cell
106,Bed nuclei of the stria terminalis anterior division anterodorsal area,209,OP-projecting retinal ganglion cell
106,Bed nuclei of the stria terminalis anterior division anterodorsal area,289,class A neuron
106,Bed nuclei of the stria terminalis anterior division anterodorsal area,291,B1 neuron
106,Bed nuclei of the stria terminalis anterior division anterodorsal area,292,B2 neuron
106,Bed nuclei of the stria terminalis anterior division anterodorsal area,293,5H1A-IR neuron
106,Bed nuclei of the stria terminalis anterior division anterodorsal area,294,5HT1A-1R multipolar neuron
106,Bed nuclei of the stria terminalis anterior division anterodorsal area,295,5HT1A-IR fusiform neuron
106,Bed nuclei of the stria terminalis anterior division anterodorsal area,296,5HT1A-IR medium-sized neuron
106,Bed nuclei of the stria terminalis anterior division anterodorsal area,297,BNSTAL-5HT neuron
106,Bed nuclei of the stria terminalis anterior division anterodorsal area,298,BNSTAL-5HT (HYP) neuron
106,Bed nuclei of the stria terminalis anterior division anterodorsal area,302,BNSTALG Type I neuron
106,Bed nuclei of the stria terminalis anterior division anterodorsal area,303,BNSTALG Type II neuron
106,Bed nuclei of the stria terminalis anterior division anterodorsal area,305,GALir magnocellular neurosecretory-type neuron
106,Bed nuclei of the stria terminalis anterior division anterodorsal area,306,BST large neuron
106,Bed nuclei of the stria terminalis anterior division anterodorsal area,307,cholinergic neuron
106,Bed nuclei of the stria terminalis anterior division anterodorsal area,308,vSub-BST neuron
106,Bed nuclei of the stria terminalis anterior division anterodorsal area,309,BST-PVN neuron
106,Bed nuclei of the stria terminalis anterior division anterodorsal area,310,vSub/PVN neuron
106,Bed nuclei of the stria terminalis anterior division anterodorsal area,311,GAD67 neuron
106,Bed nuclei of the stria terminalis anterior division anterodorsal area,316,Calbindin (CB) expressing neuron
